Parameter,Pt,GGG,Al,MgO,GGG_y,MAO,Si,Si3N4
c11 (GPa),347 [10],285.7 [8],107 [47],297 [48],285.7 [49],282.9 [44],167.4 [45],283.81 [46]
c12 (GPa),250 [10],114.9 [8],61 [47],95.9 [48],114.9 [49],155.4 [44],65.2 [45],110.37 [46]
c44 (GPa),75 [10],90.2 [8],28 [47],156 [48],90.2 [49],154.8 [44],79.6 [45],86.72 [46]
ρ (kg m^-3),21450 [10],7085 [8],2700,3580,7085 [49],3578 [44],2330 [45],3170 [46]
β (s) (Stiffness damping),,3E-15 [9],,,,,,
a (nm) (bulk value),"1.245 [22], 1.241 [23], 1.2324 [20]","1.238 [19], 1.2376 [20]",,,,,,
β (K^-1),,,2.35×10⁻⁵ [51],1.05×10⁻⁵ [50],9.3×10⁻⁶ [52],,,
